Dex;Local
494;0
495;1
496;2
497;3
498;4
499;5
500;6
501;7
502;8
503;9
504;10
505;11
509;12
510;13
519;14
520;15
521;16
521;16
540;17
541;18
542;19
191;20
192;21
506;22
507;23
508;24
179;25
180;26
181;27
54;28
55;29
298;30
183;31
184;32
447;33
448;34
206;35
531;36
511;37
512;38
513;39
514;40
515;41
516;42
543;43
544;44
545;45
109;46
110;47
81;48
82;49
462;50
58;51
59;52
240;53
126;54
467;55
239;56
125;57
466;58
19;59
20;60
41;61
42;62
169;63
88;64
89;65
527;66
528;67
524;68
525;69
526;70
95;71
208;72
532;73
533;74
534;75
529;76
530;77
300;78
301;79
427;80
428;81
546;82
547;83
548;84
549;85
517;86
518;87
173;88
35;89
36;90
133;91
134;92
135;93
136;94
196;95
197;96
470;97
471;98
551;99
552;100
553;101
554;102
555;103
550;104
550;104
568;105
569;106
572;107
573;108
627;109
628;110
629;111
630;112
27;113
28;114
557;115
558;116
559;117
560;118
556;119
561;120
328;121
329;122
330;123
562;124
563;125
564;126
565;127
566;128
567;129
599;130
600;131
601;132
406;133
315;134
407;135
574;136
575;137
576;138
577;139
578;140
579;141
415;142
416;143
587;144
214;145
127;146
522;147
523;148
418;149
419;150
570;151
571;152
580;153
581;154
588;155
589;156
616;157
617;158
585;159
586;160
590;161
591;162
351;163
299;164
476;165
304;166
305;167
306;168
343;169
344;170
636;171
637;172
595;173
596;174
597;175
598;176
602;177
603;178
604;179
592;180
592;180
593;181
593;181
594;182
610;183
611;184
612;185
335;186
336;187
605;188
606;189
607;190
608;191
609;192
631;193
632;194
613;195
614;196
615;197
641;198
641;198
642;199
642;199
645;200
645;200
451;201
452;202
227;203
322;204
323;205
325;206
326;207
425;208
426;209
353;210
354;211
278;212
279;213
337;214
338;215
359;216
114;217
465;218
619;219
620;220
207;221
472;222
624;223
625;224
638;225
639;226
640;227
535;228
536;229
537;230
618;231
213;232
458;233
226;234
223;235
224;236
222;237
120;238
121;239
320;240
321;241
131;242
363;243
364;244
365;245
333;246
334;247
37;248
38;249
436;250
437;251
215;252
461;253
225;254
582;255
583;256
584;257
220;258
221;259
473;260
132;261
374;262
375;263
376;264
86;265
87;266
538;267
539;268
626;269
621;270
622;271
623;272
633;273
634;274
635;275
287;276
288;277
289;278
341;279
342;280
174;281
39;282
40;283
108;284
463;285
193;286
469;287
357;288
455;289
453;290
454;291
246;292
247;293
248;294
643;295
644;296
646;297
646;297
646;297
647;298
647;298
648;299
648;299
649;300
