Dex;Alola;Melemele;Akala;Ula'ula;Poni
722;1;1;;;
723;2;2;;;
724;3;3;;;
725;4;4;;;
726;5;5;;;
727;6;6;;;
728;7;7;;;
729;8;8;;;
730;9;9;;;
731;10;10;1;1;1
732;11;11;2;2;2
733;12;12;3;3;3
734;13;13;4;4;4
735;14;14;5;5;5
19-1;15;15;6;6;6
20-1;16;16;7;7;7
10;17;17;8;;
11;18;18;9;;
12;19;19;10;;
165;20;20;;8;
166;21;21;;9;
167;22;22;;10;
168;23;23;;11;
427;24;24;;;8
428;25;25;;;9
686;26;26;;;10
687;27;27;;;11
570;28;28;;;12
571;29;29;;;13
676;30;30;;;14
172;31;31;;;
25;32;32;;;
26-1;33;33;;;
736;34;34;11;12;
737;35;35;12;13;
738;36;36;13;14;
438;37;37;14;;
185;38;38;15;;
440;39;39;16;15;15
113;40;40;17;16;16
242;41;41;18;17;17
446;42;42;;;
143;43;43;;;
79;44;44;;18;
80;45;45;;19;
199;46;46;;20;
278;47;47;19;21;18
279;48;48;20;22;19
63;49;49;;;
64;50;50;;;
65;51;51;;;
52-1;52;52;;23;
53-1;53;53;;24;
81;54;54;;25;
82;55;55;;26;
462;56;56;;27;
88-1;57;57;;28;
89-1;58;58;;29;
439;59;59;;;
122;60;60;;;
23;61;61;;;
24;62;62;;;
206;63;63;;;
58;64;64;;;
59;65;65;;;
96;66;66;;;20
97;67;67;;;21
296;68;68;;;22
297;69;69;;;23
235;70;70;;;
739;71;71;21;30;24
740;72;72;22;31;25
92;73;73;23;32;
93;74;74;24;33;
94;75;75;25;34;
425;76;76;;;
426;77;77;;;
198;78;78;;;
430;79;79;;;
41;80;80;26;35;26
42;81;81;27;36;27
169;82;82;28;37;28
714;83;83;;;29
715;84;84;;;30
50-1;85;85;29;38;31
51-1;86;86;30;39;32
21;87;87;;40;33
22;88;88;;41;34
627;89;89;;;35
628;90;90;;;36
629;91;91;;;37
630;92;92;;;38
56;93;93;;;39
57;94;94;;;40
225;95;95;;;
701;96;96;;;
741;97;97;;;
741;97;;31;;
741;97;;;42;
741;97;;;;41
742;98;98;;43;42
743;99;99;;44;43
669;100;100;;45;44
670;101;101;;46;45
671;102;102;;47;46
548;103;103;;48;47
549;104;104;;49;48
546;105;105;;50;49
547;106;106;;51;50
54;107;107;32;52;51
55;108;108;33;53;52
238;109;109;;;
124;110;110;;;
129;111;111;34;54;53
130;112;112;35;55;54
339;113;113;36;;55
340;114;114;37;;56
86;115;115;;;
87;116;116;;;
66;117;117;;;57
67;118;118;;;58
68;119;119;;;59
524;120;120;;;60
525;121;121;;;61
526;122;122;;;62
703;123;123;;;63
302;124;124;;;64
303;125;125;;;
744;126;126;;;65
745;127;127;;;66
327;128;128;;;
72;129;129;38;56;67
73;130;130;39;57;68
456;131;131;40;58;69
457;132;132;41;59;70
746;133;133;42;60;
370;134;134;43;;
222;135;135;44;;
747;136;136;45;;
748;137;137;46;;
90;138;138;;;
91;139;139;;;
366;140;140;;61;
367;141;141;;62;
368;142;142;;63;
223;143;143;47;;
224;144;144;48;;
458;145;145;49;;
226;146;146;50;;
371;147;147;;;
372;148;148;;;
373;149;149;;;
506;150;;51;;
507;151;;52;;
508;152;;53;;
133;153;;54;;
134;154;;55;;
135;155;;56;;
136;156;;57;;
196;157;;58;;
197;158;;59;;
470;159;;60;;
471;160;;61;;
700;161;;62;;
179;162;;63;;
180;163;;64;;
181;164;;65;;
749;165;;66;64;71
750;166;;67;65;72
174;167;;68;;
39;168;;69;;
40;169;;70;;
128;170;;71;;73
241;171;;72;;74
283;172;;73;66;
284;173;;74;67;
751;174;;75;68;
752;175;;76;69;
753;176;;77;;
754;177;;78;;
755;178;;79;70;
756;179;;80;71;
46;180;;81;72;
47;181;;82;73;
60;182;;83;74;
61;183;;84;75;
62;184;;85;76;
186;185;;86;77;
118;186;;87;78;
119;187;;88;79;
550;188;;89;80;75
349;189;;90;;
350;190;;91;;
594;191;;92;;
661;192;;93;;
662;193;;94;;
663;194;;95;;
757;195;;96;;
758;196;;97;;
104;197;;98;;
105-1;198;;99;;
115;199;;100;;
240;200;;101;;
126;201;;102;;
467;202;;103;;
636;203;;104;;
637;204;;105;;
759;205;;106;;76
760;206;;107;;77
761;207;;108;;
762;208;;109;;
763;209;;110;;
764;210;;111;;
127;211;;112;;78
163;212;;113;;
164;213;;114;;
352;214;;115;;
765;215;;116;;
766;216;;117;;
704;217;;118;81;79
705;218;;119;82;80
706;219;;120;83;81
351;220;;121;84;82
767;221;;122;;83
768;222;;123;;84
120;223;;124;;
121;224;;125;;
769;225;;126;;
770;226;;127;;
138;227;;128;;
139;228;;129;;
140;229;;130;;
141;230;;131;;
345;231;;132;;
346;232;;133;;
347;233;;134;;
348;234;;135;;
408;235;;136;;
409;236;;137;;
410;237;;138;;
411;238;;139;;
566;239;;140;;
567;240;;141;;
564;241;;142;;
565;242;;143;;
696;243;;144;;
697;244;;145;;
698;245;;146;;
699;246;;147;;
246;247;;148;;
247;248;;149;;
248;249;;150;;
708;250;;151;;
709;251;;152;;
177;252;;153;;
178;253;;154;;
299;254;;155;;
476;255;;156;;
771;256;;157;;
170;257;;158;;
171;258;;159;;
772;259;;;;
773;260;;;;
803;261;;;;
804;262;;;;
718;263;;;;
568;264;;;85;
569;265;;;86;
572;266;;;87;
573;267;;;88;
204;268;;;89;
205;269;;;90;
227;270;;;91;85
132;271;;;92;
173;272;;;93;
35;273;;;94;
36;274;;;95;
605;275;;;96;
606;276;;;97;
774;277;;;98;
374;278;;;99;
375;279;;;100;
376;280;;;101;
137;281;;;102;
233;282;;;103;
474;283;;;104;
674;284;;;105;
675;285;;;106;
775;286;;;107;
324;287;;;108;
776;288;;;109;
228;289;;;110;
229;290;;;111;
702;291;;;112;
777;292;;;113;
309;293;;;114;
310;294;;;115;
239;295;;;116;
125;296;;;117;
466;297;;;118;
74-1;298;;;119;
75-1;299;;;120;
76-1;300;;;121;
551;301;;;122;
552;302;;;123;
553;303;;;124;
328;304;;;125;
329;305;;;126;
330;306;;;127;
443;307;;;128;
444;308;;;129;
445;309;;;130;
343;310;;;131;
344;311;;;132;
622;312;;;133;
623;313;;;134;
707;314;;;135;
778;315;;;136;
353;316;;;137;
354;317;;;138;
592;318;;;139;
593;319;;;140;
779;320;;;141;
780;321;;;142;
359;322;;;143;
361;323;;;144;
362;324;;;145;
478;325;;;146;
215;326;;;147;
461;327;;;148;
27-1;328;;;149;
28-1;329;;;150;
37-1;330;;;151;
38-1;331;;;152;
582;332;;;153;
583;333;;;154;
584;334;;;155;
559;335;;;156;
560;336;;;157;
624;337;;;158;
625;338;;;159;
209;339;;;;86
210;340;;;;87
422;341;;;;88
423;342;;;;89
369;343;;;;90
781;344;;;;91
318;345;;;;92
319;346;;;;93
690;347;;;;94
691;348;;;;95
692;349;;;;96
693;350;;;;97
320;351;;;;98
321;352;;;;99
131;353;;;;100
357;354;;;;101
102;355;;;;102
103-1;356;;;;103
341;357;;;;104
342;358;;;;105
619;359;;;;106
620;360;;;;107
782;361;;;;108
783;362;;;;109
784;363;;;;110
587;364;;;;111
123;365;;;;112
212;366;;;;113
214;367;;;;114
190;368;;;;115
424;369;;;;116
667;370;;;;117
668;371;;;;118
200;372;;;;119
429;373;;;;120
621;374;;;;121
108;375;;;;122
463;376;;;;123
447;377;;;;124
448;378;;;;125
147;379;;;;126
148;380;;;;127
149;381;;;;128
142;382;;;;129
785;383;150;;;
786;384;;160;;
787;385;;;160;
788;386;;;;130
789;387;;;;
790;388;;;;
791;389;;;;
792;390;;;;
793;391;;;;
805;392;;;;
806;393;;;;
794;394;;;;
795;395;;;;
796;396;;;;
797;397;;;;
798;398;;;;
799;399;;;;
800;400;;;;
801;401;;;;
802;402;;;;
807;403;;;;
